StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,stim_colors,color_sing,color_aloud,color_silent,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,textBlank500.started,textBlank500.stopped,study_word,study_type,study_color,study_num,study_word_num,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,testWord,testType,testColor,testN,test_num,test_word_num,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,175.59348989999853,None,y,1.6817834000103176,175.59348989999853,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
,,,,,,,,,,,,,,ColoredTest,"['blue', 'yellow', 'red']",blue,yellow,red,177.3495733998716,None,space,164.97375160013326,177.3495733998716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,177.3495733998716,None,177.3495733998716,None,177.3495733998716,None,344.87631829991005,None,candidate,sing,blue,19,39,342.86803680006415,None,None,342.86803680006415,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.39052159991115,None,shear,sing,blue,5,283,345.38609230006114,None,None,345.38609230006114,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.90739519987255,None,resistance,silent,red,80,262,347.90754759986885,None,None,347.90754759986885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.4243441000581,None,interview,silent,red,87,165,350.42989280004986,None,None,350.42989280004986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.94141229987144,None,color,sing,blue,17,56,352.9355343999341,None,None,352.9355343999341,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.4579234998673,None,orchestra,aloud,yellow,55,206,355.4548702999018,None,None,355.4548702999018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.9747251998633,None,budget,sing,blue,22,34,357.97636829991825,None,None,357.97636829991825,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.49163419986144,None,balance,aloud,yellow,38,17,360.49609929998405,None,None,360.49609929998405,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0083888999652,None,straight,aloud,yellow,34,307,363.0107050999068,None,None,363.0107050999068,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.52524759992957,None,provision,sing,blue,1,243,365.5261679000687,None,None,365.5261679000687,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.04211460007355,None,school,sing,blue,2,274,368.03538900008425,None,None,368.03538900008425,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.5582862000447,None,minute,aloud,yellow,43,192,370.5528563000262,None,None,370.5528563000262,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.0757156999316,None,threat,silent,red,75,329,373.0746758999303,None,None,373.0746758999303,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.5759602000471,None,space,silent,red,82,297,375.57435450004414,None,None,375.57435450004414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.0929445999209,None,voice,aloud,yellow,59,348,378.0900840999093,None,None,378.0900840999093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.60957019985653,None,mayor,sing,blue,11,183,380.6076398000587,None,None,380.6076398000587,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.1264432000462,None,music,silent,red,89,196,383.12549820006825,None,None,383.12549820006825,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.6450044999365,None,author,sing,blue,16,15,385.6395378999878,None,None,385.6395378999878,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.1601456999779,None,question,aloud,yellow,58,247,388.1647133999504,None,None,388.1647133999504,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.676913500065,None,block,silent,red,72,25,390.68055439996533,None,None,390.68055439996533,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.19360890006647,None,leader,silent,red,71,168,393.1892377000768,None,None,393.1892377000768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.71067170007154,None,sight,aloud,yellow,56,286,395.7065624999814,None,None,395.7065624999814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.22795039997436,None,alert,aloud,yellow,30,6,398.2230108000804,None,None,398.2230108000804,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.74441369995475,None,curve,sing,blue,8,82,400.74310839991085,None,None,400.74310839991085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.26107100001536,None,crime,aloud,yellow,48,78,403.25373880006373,None,None,403.25373880006373,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Color_50,001,2022_May_03_1555,ProdSingRedo,3.2.3,59.94729438409275,
