trials_fam.thisRepN,trials_fam.thisTrialN,trials_fam.thisN,trials_fam.thisIndex,trials_prc.thisRepN,trials_prc.thisTrialN,trials_prc.thisN,trials_prc.thisIndex,StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,text_colortest.started,text_colortest.stopped,key_colortest.keys,key_colortest.rt,key_colortest.started,key_colortest.stopped,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition_between,Condition_counterbal,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,welcome_a.started,welcome_a.stopped,welcome_b.started,welcome_b.stopped,welcome_c.started,welcome_c.stopped,welcome_d.started,welcome_d.stopped,welcome_e.started,welcome_e.stopped,welcome_f.started,welcome_f.stopped,key_resp_fam_inst.keys,key_resp_fam_inst.rt,key_resp_fam_inst.started,key_resp_fam_inst.stopped,fam_a.started,fam_a.stopped,fam_b.started,fam_b.stopped,fam_c.started,fam_c.stopped,fam_d.started,fam_d.stopped,fam_e.started,fam_e.stopped,fam_f.started,fam_f.stopped,text_famil.started,text_famil.stopped,textBlank500.started,textBlank500.stopped,key_resp_prc_inst.keys,key_resp_prc_inst.rt,key_resp_prc_inst.started,key_resp_prc_inst.stopped,prac_a.started,prac_a.stopped,prac_b.started,prac_b.stopped,prac_c.started,prac_c.stopped,prac_d.started,prac_d.stopped,prac_e.started,prac_e.stopped,prac_f.started,prac_f.stopped,text_prc_trial.started,text_prc_trial.stopped,key_resp_study_inst.keys,key_resp_study_inst.rt,key_resp_study_inst.started,key_resp_study_inst.stopped,crit_a.started,crit_a.stopped,crit_b.started,crit_b.stopped,crit_c.started,crit_c.stopped,crit_d.started,crit_d.stopped,crit_e.started,crit_e.stopped,crit_f.started,crit_f.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,post_study.started,post_study.stopped,key_resp_post_study.keys,key_resp_post_study.rt,key_resp_post_study.started,key_resp_post_study.stopped,test_inst.started,test_inst.stopped,key_resp_test_inst.keys,key_resp_test_inst.rt,key_resp_test_inst.started,key_resp_test_inst.stopped,test_word,test_num,test_order,test_condition,old_new_test,word_color_test,textConf.started,textConf.stopped,Participant Response,textInput.started,textInput.stopped,keyResp.keys,keyResp.rt,keyResp.started,keyResp.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,17.03140030056238,None,y,1.3534367000684142,17.03140030056238,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,,,,,,,,,,,,,,,18.403744600713253,None,a,0.36524289939552546,18.403744600713253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,colorfoils,a,space,360.53018589969724,28.88668330013752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.94124890025705,None,18.94124890025705,None,18.94124890025705,None,18.94124890025705,None,18.94124890025705,None,18.94124890025705,None,space,13.524515999481082,399.5804944001138,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.6043050000444,None,389.6043050000444,None,389.6043050000444,None,389.6043050000444,None,389.6043050000444,None,389.6043050000444,None,413.2114627007395,None,415.2170510003343,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.7177763003856,None,417.71943300031126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.2352470001206,None,420.23916900064796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.7432506000623,None,422.75801240000874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423.2421280005947,None,425.2436137003824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.74433890078217,None,427.7462963005528,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.2526392005384,None,430.26585480012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.76588600035757,None,432.7679839003831,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.2696427004412,None,435.27033460047096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.7709846002981,None,437.77312300074846,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.2756489003077,None,440.27567910030484,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.77985280007124,None,442.7948743002489,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.2953542005271,None,445.2973843002692,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.80583350080997,None,447.816564200446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.31709420029074,None,450.31900840066373,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,11.724738399498165,460.9002582002431,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474.7269172007218,None,,,,,450.94818180054426,None,450.94818180054426,None,450.94818180054426,None,450.94818180054426,None,450.94818180054426,None,450.94818180054426,None,472.72533630020916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.2290867008269,None,,,,,,,,,,,,,,,,,475.2273054001853,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.73172500077635,None,,,,,,,,,,,,,,,,,477.72994530014694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.234287600033,None,,,,,,,,,,,,,,,,,480.2324188007042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.73658400028944,None,,,,,,,,,,,,,,,,,482.73477510083467,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.2393166003749,None,,,,,,,,,,,,,,,,,485.2372992001474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.74176570028067,None,,,,,,,,,,,,,,,,,487.7396138003096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.2442150004208,None,,,,,,,,,,,,,,,,,490.2420959006995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.74667600076646,None,,,,,,,,,,,,,,,,,492.7448655003682,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.24929490033537,None,,,,,,,,,,,,,,,,,495.24733450077474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.7515485007316,None,,,,,,,,,,,,,,,,,497.74981910083443,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.25434980075806,None,,,,,,,,,,,,,,,,,500.2521082004532,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.75686080008745,None,,,,,,,,,,,,,,,,,502.75489970017225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.2592803006992,None,,,,,,,,,,,,,,,,,505.25712450034916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.7617901004851,None,,,,,,,,,,,,,,,,,507.75977870076895,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,14.83733840007335,520.3962654005736,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.3060290003195,None,,,,,,,,,,,,,,,,,,,,,,,510.4190906006843,None,510.4190906006843,None,510.4190906006843,None,510.4190906006843,None,510.4190906006843,None,510.4190906006843,None,toy,116,1,aloud,red,535.295120600611,None,None,535.295120600611,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.8256484000012,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pupil,56,2,silent,blue,537.813010500744,None,None,537.813010500744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.3443589005619,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fire,45,3,silent,blue,540.3378976006061,None,None,540.3378976006061,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.8633717000484,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,length,46,4,silent,blue,542.8482034001499,None,None,542.8482034001499,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547.3828143002465,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,temple,119,5,aloud,red,545.3758038002998,None,None,545.3758038002998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.902139400132,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,apple,62,6,silent,blue,547.8877632003278,None,None,547.8877632003278,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.421213700436,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,20,7,sing,white,550.4077267004177,None,None,550.4077267004177,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.9402932999656,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fun,32,8,sing,white,552.9271749006584,None,None,552.9271749006584,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.459322700277,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mercy,90,9,aloud,red,555.4443287001923,None,None,555.4443287001923,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.9788776002824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dawn,31,10,sing,white,557.9656401006505,None,None,557.9656401006505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.4811369003728,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cat,12,11,sing,white,560.4788681007922,None,None,560.4788681007922,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.9836936006323,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,author,77,12,silent,blue,562.9832989005372,None,None,562.9832989005372,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.4861930999905,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city,72,13,silent,blue,565.4864695006981,None,None,565.4864695006981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.9888347005472,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pipe,92,14,aloud,red,567.9887685999274,None,None,567.9887685999274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.5078878002241,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chair,75,15,silent,blue,570.4923969004303,None,None,570.4923969004303,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.0101876007393,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wine,27,16,sing,white,573.011188200675,None,None,573.011188200675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.5127231003717,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,opinion,94,17,aloud,red,575.5106998002157,None,None,575.5106998002157,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.0151645001024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,colony,74,18,silent,blue,578.0133668007329,None,None,578.0133668007329,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.5180278001353,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,charm,0,19,sing,white,580.5156960003078,None,None,580.5156960003078,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.0204380005598,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corner,96,20,aloud,red,583.018419300206,None,None,583.018419300206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.5396199999377,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,army,99,21,aloud,red,585.5249119000509,None,None,585.5249119000509,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.0587292006239,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lip,33,22,sing,white,588.0435858005658,None,None,588.0435858005658,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.5780116003007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,series,6,23,sing,white,590.5629361001775,None,None,590.5629361001775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
,,,,,,,,23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595.0971344001591,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slave,41,24,silent,blue,593.0895160008222,None,None,593.0895160008222,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73YA,001,2023_May_05_1023,ExactRep-v3-final,2021.2.3,60.08903967962311,
