trials_fam.thisRepN,trials_fam.thisTrialN,trials_fam.thisN,trials_fam.thisIndex,trials_prc.thisRepN,trials_prc.thisTrialN,trials_prc.thisN,trials_prc.thisIndex,StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,text_colortest.started,text_colortest.stopped,key_colortest.keys,key_colortest.rt,key_colortest.started,key_colortest.stopped,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition_between,Condition_counterbal,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,welcome_a.started,welcome_a.stopped,welcome_b.started,welcome_b.stopped,welcome_c.started,welcome_c.stopped,welcome_d.started,welcome_d.stopped,welcome_e.started,welcome_e.stopped,welcome_f.started,welcome_f.stopped,key_resp_fam_inst.keys,key_resp_fam_inst.rt,key_resp_fam_inst.started,key_resp_fam_inst.stopped,fam_a.started,fam_a.stopped,fam_b.started,fam_b.stopped,fam_c.started,fam_c.stopped,fam_d.started,fam_d.stopped,fam_e.started,fam_e.stopped,fam_f.started,fam_f.stopped,text_famil.started,text_famil.stopped,textBlank500.started,textBlank500.stopped,key_resp_prc_inst.keys,key_resp_prc_inst.rt,key_resp_prc_inst.started,key_resp_prc_inst.stopped,prac_a.started,prac_a.stopped,prac_b.started,prac_b.stopped,prac_c.started,prac_c.stopped,prac_d.started,prac_d.stopped,prac_e.started,prac_e.stopped,prac_f.started,prac_f.stopped,text_prc_trial.started,text_prc_trial.stopped,key_resp_study_inst.keys,key_resp_study_inst.rt,key_resp_study_inst.started,key_resp_study_inst.stopped,crit_a.started,crit_a.stopped,crit_b.started,crit_b.stopped,crit_c.started,crit_c.stopped,crit_d.started,crit_d.stopped,crit_e.started,crit_e.stopped,crit_f.started,crit_f.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,post_study.started,post_study.stopped,key_resp_post_study.keys,key_resp_post_study.rt,key_resp_post_study.started,key_resp_post_study.stopped,test_inst.started,test_inst.stopped,key_resp_test_inst.keys,key_resp_test_inst.rt,key_resp_test_inst.started,key_resp_test_inst.stopped,test_word,test_num,test_order,test_condition,old_new_test,word_color_test,textConf.started,textConf.stopped,Participant Response,textInput.started,textInput.stopped,keyResp.keys,keyResp.rt,keyResp.started,keyResp.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,26.93849440012127,None,y,2.5676961997523904,26.93849440012127,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,,,,,,,,,,,,,,,29.528178400360048,None,f,1.034070999827236,29.528178400360048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,colorfoils,f,space,707.5636313003488,40.73551040003076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.78525929991156,None,30.78525929991156,None,30.78525929991156,None,30.78525929991156,None,30.78525929991156,None,30.78525929991156,None,space,16.923088599927723,758.4559244001284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748.4786288999021,None,748.4786288999021,None,748.4786288999021,None,748.4786288999021,None,748.4786288999021,None,748.4786288999021,None,775.5000841999426,None,777.4929897999391,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777.9937058999203,None,779.9956334000453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780.5311847999692,None,782.5145584000275,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783.0177890001796,None,785.017214700114,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785.5201242999174,None,787.5195448999293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788.0202767001465,None,790.0222546001896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790.522538700141,None,792.5245501003228,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793.0251349001192,None,795.0271829999983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,795.5279588000849,None,797.5296808001585,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798.0322266002186,None,800.0323622999713,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800.5324026001617,None,802.5345776001923,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803.0371527001262,None,805.0372461001389,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805.5395301999524,None,807.5396929001436,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808.0402616001666,None,810.0422463002615,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810.5494291000068,None,812.5614082999527,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.8515029000118375,823.2156483000144,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826.1749758999795,None,,,,,813.2522300002165,None,813.2522300002165,None,813.2522300002165,None,813.2522300002165,None,813.2522300002165,None,813.2522300002165,None,824.1657497999258,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.6774961003102,None,,,,,,,,,,,,,,,,,826.6755683999509,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831.1795532000251,None,,,,,,,,,,,,,,,,,829.1781705999747,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833.682542399969,None,,,,,,,,,,,,,,,,,831.680526799988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.1852327003144,None,,,,,,,,,,,,,,,,,834.1831561001018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838.6876330003142,None,,,,,,,,,,,,,,,,,836.6855293000117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841.1901396000758,None,,,,,,,,,,,,,,,,,839.1880554999225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843.6925548003055,None,,,,,,,,,,,,,,,,,841.690615999978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846.1950484002009,None,,,,,,,,,,,,,,,,,844.1930780000985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848.6974939000793,None,,,,,,,,,,,,,,,,,846.6956134000793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851.2000984000042,None,,,,,,,,,,,,,,,,,849.1981481001712,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853.7026037001051,None,,,,,,,,,,,,,,,,,851.7005806001835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856.2051047002897,None,,,,,,,,,,,,,,,,,854.2031068000942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858.7076807999983,None,,,,,,,,,,,,,,,,,856.7056146003306,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,861.2100113001652,None,,,,,,,,,,,,,,,,,859.2081985003315,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,17.148803799878806,871.8543621003628,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891.1232972000726,None,,,,,,,,,,,,,,,,,,,,,,,861.883748000022,None,861.883748000022,None,861.883748000022,None,861.883748000022,None,861.883748000022,None,861.883748000022,None,prayer,38,1,sing,red,889.114551700186,None,None,889.114551700186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893.6259293002076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wife,103,2,aloud,white,891.6235747002065,None,None,891.6235747002065,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896.1450211000629,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sea,69,3,silent,blue,894.1308361003175,None,None,894.1308361003175,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898.6642180001363,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excuse,24,4,sing,red,896.6537759001367,None,None,896.6537759001367,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901.1834038002416,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,health,16,5,sing,red,899.1689240001142,None,None,899.1689240001142,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903.6858338001184,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dawn,9,6,sing,red,901.6851482000202,None,None,901.6851482000202,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906.1884004003368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,city,63,7,silent,blue,904.187061900273,None,None,904.187061900273,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908.707633800339,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,answer,7,8,sing,red,906.6920084999874,None,None,906.6920084999874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911.2267203000374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee,78,9,silent,blue,909.2137540001422,None,None,909.2137540001422,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913.7459460999817,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,memory,1,10,sing,red,911.7311806003563,None,None,911.7311806003563,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916.2650783001445,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,justice,44,11,silent,blue,914.2542945002206,None,None,914.2542945002206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918.767619300168,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bar,28,12,sing,red,916.7656009001657,None,None,916.7656009001657,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921.2699965001084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crime,42,13,silent,blue,919.2693950999528,None,None,919.2693950999528,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,923.7725933003239,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,car,75,14,silent,blue,921.7704340000637,None,None,921.7704340000637,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926.2916224999353,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paper,49,15,silent,blue,924.2815948002972,None,None,924.2815948002972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928.7942940001376,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,insect,99,16,aloud,white,926.7922777999192,None,None,926.7922777999192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,931.313492400106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leader,30,17,sing,red,929.2983801001683,None,None,929.2983801001683,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933.815978300292,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cotton,89,18,aloud,white,931.8160548000596,None,None,931.8160548000596,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936.3351573003456,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,length,65,19,silent,blue,934.3226939002052,None,None,934.3226939002052,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938.8376651001163,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,effort,54,20,silent,blue,936.8355223000981,None,None,936.8355223000981,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941.3566219001077,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ticket,56,21,silent,blue,939.3463531001471,None,None,939.3463531001471,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943.860174600035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood,96,22,aloud,white,941.8572237002663,None,None,941.8572237002663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
,,,,,,,,22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,946.3785157999955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soul,70,23,silent,blue,944.367755100131,None,None,944.367755100131,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30YF,001,2023_Mar_31_0945,ExactRep-v3-final,2021.2.3,59.98350448049326,
