StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,29.827020900000207,None,c,4.139281399999163,29.827020900000207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
,,,,,,,,,,,,,,SingTest,34.048469999999725,None,space,101.83757979999973,34.048469999999725,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
0,0,0,0,,,,,,,,,,,,,,,,,,34.048469999999725,None,34.048469999999725,None,34.048469999999725,None,34.048469999999725,None,138.42392610000024,None,research,35,1,sing,blue,136.42201999999997,None,None,136.42201999999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,140.92645769999945,None,health,87,2,sing,red,138.9273702999999,None,None,138.9273702999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,143.4289491999989,None,edition,40,3,sing,blue,141.42805380000027,None,None,141.42805380000027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,145.94817349999903,None,broke,47,4,sing,blue,143.93359280000004,None,None,143.93359280000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,148.46732849999898,None,trash,25,5,sing,yellow,146.45804839999983,None,None,146.45804839999983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,150.9696372999988,None,century,71,6,sing,red,148.96775999999954,None,None,148.96775999999954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,153.47236209999937,None,direction,65,7,sing,red,151.47136769999997,None,None,151.47136769999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,155.9914891999997,None,listen,83,8,sing,red,153.97712189999947,None,None,153.97712189999947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,158.510792699999,None,reading,7,9,sing,yellow,156.4952994999985,None,None,156.4952994999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,161.02989530000013,None,gesture,38,10,sing,blue,159.02054549999957,None,None,159.02054549999957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,163.53242359999967,None,judge,8,11,sing,yellow,161.53039549999994,None,None,161.53039549999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,166.0516091999998,None,salary,76,12,sing,red,164.03667440000027,None,None,164.03667440000027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,168.5706098999999,None,victory,88,13,sing,red,166.55684959999962,None,None,166.55684959999962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,171.08988559999852,None,partner,64,14,sing,red,169.0754390000002,None,None,169.0754390000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,173.59244969999963,None,turkey,55,15,sing,blue,171.5916914999998,None,None,171.5916914999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,176.09493739999925,None,nation,37,16,sing,blue,174.09476059999906,None,None,174.09476059999906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,178.5974624999999,None,fashion,17,17,sing,yellow,176.59838560000026,None,None,176.59838560000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,181.10008899999957,None,style,73,18,sing,red,179.10017569999945,None,None,179.10017569999945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,183.60239449999972,None,balance,21,19,sing,yellow,181.60046169999987,None,None,181.60046169999987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,186.10487499999908,None,drink,81,20,sing,red,184.1057181999986,None,None,184.1057181999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,188.62403319999976,None,article,6,21,sing,yellow,186.6095932999997,None,None,186.6095932999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,191.12662420000015,None,straight,23,22,sing,yellow,189.12466369999856,None,None,189.12466369999856,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,193.62921800000004,None,minute,9,23,sing,yellow,191.62708569999995,None,None,191.62708569999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,196.13156999999956,None,range,43,24,sing,blue,194.1317393999998,None,None,194.1317393999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,198.63406229999964,None,poetry,69,25,sing,red,196.63217689999874,None,None,196.63217689999874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,201.15329519999977,None,afternoon,28,26,sing,yellow,199.13915329999872,None,None,199.13915329999872,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,203.67258439999932,None,clear,84,27,sing,red,201.65952949999883,None,None,201.65952949999883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,206.17518989999917,None,territory,16,28,sing,yellow,204.17298929999924,None,None,204.17298929999924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,208.67759389999992,None,number,36,29,sing,blue,206.67566679999982,None,None,206.67566679999982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,211.19664179999927,None,pattern,75,30,sing,red,209.1814005999986,None,None,209.1814005999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,213.71581629999855,None,quantity,60,31,sing,red,211.7073565999999,None,None,211.7073565999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,216.21830979999868,None,running,18,32,sing,yellow,214.2163940999999,None,None,214.2163940999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,218.73747849999927,None,executive,31,33,sing,blue,216.72346209999887,None,None,216.72346209999887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,221.24018739999883,None,threat,42,34,sing,blue,219.24101159999918,None,None,219.24101159999918,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,223.74255660000017,None,division,53,35,sing,blue,221.74354049999965,None,None,221.74354049999965,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,226.24507159999848,None,platform,52,36,sing,blue,224.2431015000002,None,None,224.2431015000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,228.76428619999933,None,country,56,37,sing,blue,226.75633639999978,None,None,226.75633639999978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,231.26683239999875,None,little,86,38,sing,red,229.26651539999875,None,None,229.26651539999875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,233.76932849999866,None,death,85,39,sing,red,231.7680789999995,None,None,231.7680789999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,236.28853030000028,None,scene,66,40,sing,red,234.2736831000002,None,None,234.2736831000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,238.7909579999996,None,instrument,44,41,sing,blue,236.79132459999892,None,None,236.79132459999892,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,241.31026310000016,None,religion,24,42,sing,yellow,239.31396929999937,None,None,239.31396929999937,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,243.81267399999888,None,candidate,58,43,sing,blue,241.8110746000002,None,None,241.8110746000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,246.3151042999998,None,pretty,48,44,sing,blue,244.3155861999985,None,None,244.3155861999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,248.8343516999994,None,review,61,45,sing,red,246.8206900999994,None,None,246.8206900999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,251.33689699999923,None,dance,2,46,sing,yellow,249.33738389999962,None,None,249.33738389999962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,253.8561613999991,None,election,39,47,sing,blue,251.84069269999964,None,None,251.84069269999964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,256.3584364999988,None,stand,41,48,sing,blue,254.35808009999892,None,None,254.35808009999892,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,258.87774679999893,None,finish,11,49,sing,yellow,256.862298,None,None,256.862298,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,261.3802156999991,None,principal,27,50,sing,yellow,259.37950909999927,None,None,259.37950909999927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,263.8994709999988,None,sunset,63,51,sing,red,261.8845232999993,None,None,261.8845232999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,266.4020752999986,None,shear,33,52,sing,blue,264.3999331999985,None,None,264.3999331999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,268.9044146999986,None,story,78,53,sing,red,266.9023698000001,None,None,266.9023698000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,271.4069518999986,None,orchestra,54,54,sing,blue,269.40478040000016,None,None,269.40478040000016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,273.90958989999854,None,meeting,14,55,sing,yellow,271.9074854999999,None,None,271.9074854999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,276.4118643999991,None,audience,15,56,sing,yellow,274.40999679999913,None,None,274.40999679999913,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,278.9144376999993,None,quarter,82,57,sing,red,276.9123753999993,None,None,276.9123753999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,281.41713159999927,None,provision,68,58,sing,red,279.4148312999987,None,None,279.4148312999987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,283.91936109999915,None,captain,19,59,sing,yellow,281.9199762999997,None,None,281.9199762999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,286.4219935000001,None,short,67,60,sing,red,284.41995080000015,None,None,284.41995080000015,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,288.9410633999996,None,block,49,61,sing,blue,286.9275682999996,None,None,286.9275682999996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,291.4435151999987,None,bitter,50,62,sing,blue,289.4415586999985,None,None,289.4415586999985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,293.9627499999988,None,whole,12,63,sing,yellow,291.9472870999998,None,None,291.9472870999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,296.46534189999875,None,individual,1,64,sing,yellow,294.4632856999997,None,None,294.4632856999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
64,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,298.9679734000001,None,touch,89,65,sing,red,296.96577849999994,None,None,296.96577849999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
65,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,301.4703945000001,None,suspect,0,66,sing,yellow,299.4681399000001,None,None,299.4681399000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
66,0,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,303.97284319999926,None,produce,59,67,sing,yellow,301.9707890999998,None,None,301.9707890999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
67,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,306.4753452999994,None,native,45,68,sing,blue,304.47534709999854,None,None,304.47534709999854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
68,0,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,308.977887699999,None,sight,70,69,sing,red,306.97594769999887,None,None,306.97594769999887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
69,0,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,311.4804038000002,None,bureau,10,70,sing,yellow,309.4788587000003,None,None,309.4788587000003,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
70,0,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,313.98288779999893,None,music,26,71,sing,yellow,311.9808878999993,None,None,311.9808878999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
71,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,316.48526309999943,None,entrance,72,72,sing,red,314.4833246999988,None,None,314.4833246999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
72,0,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,319.0045900999994,None,force,80,73,sing,red,316.9894418999993,None,None,316.9894418999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
73,0,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,321.50701279999885,None,birth,51,74,sing,blue,319.50576329999967,None,None,319.50576329999967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
74,0,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,324.0094594000002,None,brilliant,79,75,sing,red,322.00903449999896,None,None,322.00903449999896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
75,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,326.5286139999989,None,foundation,46,76,sing,blue,324.5138337999997,None,None,324.5138337999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
76,0,76,0,,,,,,,,,,,,,,,,,,,,,,,,,,329.0476656999999,None,junior,22,77,sing,yellow,327.0327621999986,None,None,327.0327621999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
77,0,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,331.5503325999998,None,second,30,78,sing,blue,329.548316299999,None,None,329.548316299999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
78,0,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,334.069653999999,None,opening,20,79,sing,yellow,332.06187239999963,None,None,332.06187239999963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
79,0,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,336.5887449999991,None,device,3,80,sing,yellow,334.5750963999999,None,None,334.5750963999999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
80,0,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,339.09130709999954,None,emergency,34,81,sing,blue,337.09203389999857,None,None,337.09203389999857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
81,0,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,341.5935565999989,None,group,5,82,sing,yellow,339.5943222999995,None,None,339.5943222999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sing9,001,2022_Aug_02_1422,ProdSingRedoBetween,2021.2.3,60.007116844327655,
