StudyLoop.thisRepN,StudyLoop.thisTrialN,StudyLoop.thisN,StudyLoop.thisIndex,TestLoop.thisRepN,TestLoop.thisTrialN,TestLoop.thisN,TestLoop.thisIndex,textCondition.started,textCondition.stopped,keyCondition.keys,keyCondition.rt,keyCondition.started,keyCondition.stopped,Condition,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textAloud.started,textAloud.stopped,textSilent.started,textSilent.stopped,textSing.started,textSing.stopped,conditional_text.started,conditional_text.stopped,textBlank500.started,textBlank500.stopped,study_word,study_num,study_order,study_type,word_color,textStudy.started,textStudy.stopped,keyStudy.keys,keyStudy.started,keyStudy.stopped,textTestInstructions.started,textTestInstructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,test_word,test_num,test_order,test_condition,old_new_test,test_word_original_color,textConf.started,textConf.stopped,textConfScale.started,textConfScale.stopped,keyConf.keys,keyConf.rt,keyConf.started,keyConf.stopped,confidence response time,textTestBlank.started,textTestBlank.stopped,textRKN.started,textRKN.stopped,textRKNScale.started,textRKNScale.stopped,keyRKN.keys,keyRKN.rt,keyRKN.started,keyRKN.stopped,rkn response time,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,40.2375225,None,c,761.522439,40.2375225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
,,,,,,,,,,,,,,SingTest,801.8135458,None,space,4.8501949,801.8135458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
0,0,0,0,,,,,,,,,,,,,,,,,,801.8135458,None,801.8135458,None,801.8135458,None,801.8135458,None,809.2012016,None,century,17,1,sing,yellow,807.1894203,None,None,807.1894203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,811.7034314,None,shape,60,2,sing,red,809.7022538,None,None,809.7022538,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,814.2057573,None,trend,81,3,sing,red,812.2045748,None,None,812.2045748,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,816.7252228,None,clear,31,4,sing,blue,814.7101383,None,None,814.7101383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,819.2279752,None,still,39,5,sing,blue,817.2280173,None,None,817.2280173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,821.7300651,None,tennis,3,6,sing,yellow,819.7304458,None,None,819.7304458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,824.2327224,None,youth,0,7,sing,yellow,822.2332601,None,None,822.2332601,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,826.7350894,None,center,64,8,sing,red,824.733637,None,None,824.733637,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,829.2544977,None,write,88,9,sing,red,827.2402758,None,None,827.2402758,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,831.7570249,None,worker,29,10,sing,blue,829.7578236,None,None,829.7578236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,834.2596845,None,number,57,11,sing,blue,832.2596425,None,None,832.2596425,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,836.7785842,None,primary,6,12,sing,yellow,834.7639458,None,None,834.7639458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,839.2813433,None,chief,59,13,sing,yellow,837.2794879,None,None,837.2794879,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,841.7835906,None,passage,45,14,sing,blue,839.7838178,None,None,839.7838178,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,844.2862877,None,incident,22,15,sing,yellow,842.2851901,None,None,842.2851901,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,846.8051994,None,guide,77,16,sing,red,844.7908838,None,None,844.7908838,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,849.3244646,None,dance,1,17,sing,yellow,847.3110432,None,None,847.3110432,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,851.8269461,None,private,68,18,sing,red,849.8271831,None,None,849.8271831,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,854.3293,None,edition,4,19,sing,yellow,852.3290111,None,None,852.3290111,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
19,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,856.8321281,None,conference,14,20,sing,yellow,854.8312016,None,None,854.8312016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
20,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,859.3512302,None,account,71,21,sing,red,857.3361044,None,None,857.3361044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
21,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,861.8536509,None,property,26,22,sing,yellow,859.8520869,None,None,859.8520869,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
22,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,864.3562826,None,measure,9,23,sing,yellow,862.3571128,None,None,862.3571128,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
23,0,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,866.858626,None,scale,74,24,sing,red,864.8596137,None,None,864.8596137,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
24,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,869.3617591,None,route,87,25,sing,red,867.3605605,None,None,867.3605605,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
25,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,871.8637176,None,debate,52,26,sing,blue,869.8623121,None,None,869.8623121,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
26,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,874.3829332,None,title,49,27,sing,blue,872.3685563,None,None,872.3685563,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
27,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,876.8857105,None,income,41,28,sing,blue,874.8856205,None,None,874.8856205,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
28,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,879.3879337,None,pretty,21,29,sing,yellow,877.3881815,None,None,877.3881815,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
29,0,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,881.8901567,None,career,40,30,sing,blue,879.8887232,None,None,879.8887232,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
30,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,884.3934266,None,employment,80,31,sing,red,882.3932551,None,None,882.3932551,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
31,0,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,886.8954572,None,budget,83,32,sing,red,884.8944842,None,None,884.8944842,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
32,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,889.3978726,None,track,30,33,sing,blue,887.3981653,None,None,887.3981653,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
33,0,33,0,,,,,,,,,,,,,,,,,,,,,,,,,,891.9004531,None,balance,8,34,sing,yellow,889.8997917,None,None,889.8997917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
34,0,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,894.4028967,None,shear,2,35,sing,yellow,892.402344,None,None,892.402344,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
35,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,896.9051986,None,capital,10,36,sing,yellow,894.9052735,None,None,894.9052735,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
36,0,36,0,,,,,,,,,,,,,,,,,,,,,,,,,,899.4244922,None,emergency,23,37,sing,yellow,897.4094201,None,None,897.4094201,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
37,0,37,0,,,,,,,,,,,,,,,,,,,,,,,,,,901.9435202,None,bucket,78,38,sing,red,899.9282704,None,None,899.9282704,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
38,0,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,904.4458133,None,benefit,27,39,sing,yellow,902.4455997,None,None,902.4455997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
39,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,906.9484491,None,sweet,15,40,sing,yellow,904.9481007,None,None,904.9481007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
40,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,909.4517524,None,patient,12,41,sing,yellow,907.4510909,None,None,907.4510909,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
41,0,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,911.9535264,None,poetry,73,42,sing,red,909.9522202,None,None,909.9522202,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
42,0,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,914.4559749,None,school,70,43,sing,red,912.4555477,None,None,912.4555477,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
43,0,43,0,,,,,,,,,,,,,,,,,,,,,,,,,,916.9591684,None,build,76,44,sing,red,914.9568206,None,None,914.9568206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
44,0,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,919.4609027,None,judge,37,45,sing,blue,917.4618346,None,None,917.4618346,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
45,0,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,921.9635345,None,afternoon,36,46,sing,blue,919.9616811,None,None,919.9616811,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
46,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,924.4658914,None,comedy,35,47,sing,blue,922.4637919,None,None,922.4637919,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
47,0,47,0,,,,,,,,,,,,,,,,,,,,,,,,,,926.9683851,None,expansion,34,48,sing,blue,924.9665897,None,None,924.9665897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
48,0,48,0,,,,,,,,,,,,,,,,,,,,,,,,,,929.4707298,None,agency,48,49,sing,blue,927.4699164,None,None,927.4699164,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
49,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,931.9734876,None,general,16,50,sing,yellow,929.9717066,None,None,929.9717066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
50,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,934.4764257,None,symbol,84,51,sing,red,932.4761271,None,None,932.4761271,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
51,0,51,0,,,,,,,,,,,,,,,,,,,,,,,,,,936.9791065,None,touch,7,52,sing,yellow,934.9798406,None,None,934.9798406,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
52,0,52,0,,,,,,,,,,,,,,,,,,,,,,,,,,939.4976207,None,election,50,53,sing,blue,937.4867333,None,None,937.4867333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
53,0,53,0,,,,,,,,,,,,,,,,,,,,,,,,,,942.0003877,None,problem,75,54,sing,red,940.0006052,None,None,940.0006052,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
54,0,54,0,,,,,,,,,,,,,,,,,,,,,,,,,,944.5029098,None,crowd,65,55,sing,red,942.5029068,None,None,942.5029068,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
55,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,947.0054768,None,pattern,43,56,sing,blue,945.0049642,None,None,945.0049642,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
56,0,56,0,,,,,,,,,,,,,,,,,,,,,,,,,,949.5080317,None,machinery,56,57,sing,blue,947.5082828,None,None,947.5082828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
57,0,57,0,,,,,,,,,,,,,,,,,,,,,,,,,,952.0102311,None,corner,42,58,sing,blue,950.0111297,None,None,950.0111297,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
58,0,58,0,,,,,,,,,,,,,,,,,,,,,,,,,,954.5140478,None,detective,54,59,sing,blue,952.5132974,None,None,952.5132974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
59,0,59,0,,,,,,,,,,,,,,,,,,,,,,,,,,957.0320472,None,cover,44,60,sing,blue,955.0259091,None,None,955.0259091,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
60,0,60,0,,,,,,,,,,,,,,,,,,,,,,,,,,959.535423,None,drove,82,61,sing,red,957.5335382,None,None,957.5335382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
61,0,61,0,,,,,,,,,,,,,,,,,,,,,,,,,,962.0369699,None,state,55,62,sing,blue,960.0372058,None,None,960.0372058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
62,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,964.5394817,None,weight,24,63,sing,yellow,962.5396701,None,None,962.5396701,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
63,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,967.0420221,None,whole,18,64,sing,yellow,965.0408245,None,None,965.0408245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
64,0,64,0,,,,,,,,,,,,,,,,,,,,,,,,,,969.5616916,None,fashion,32,65,sing,blue,967.5565087,None,None,967.5565087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
65,0,65,0,,,,,,,,,,,,,,,,,,,,,,,,,,972.0642886,None,growth,69,66,sing,red,970.062417,None,None,970.062417,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
66,0,66,0,,,,,,,,,,,,,,,,,,,,,,,,,,974.5661224,None,waste,53,67,sing,blue,972.5666505,None,None,972.5666505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
67,0,67,0,,,,,,,,,,,,,,,,,,,,,,,,,,977.085492,None,crisis,38,68,sing,blue,975.0725112,None,None,975.0725112,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
68,0,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,979.5880101,None,alert,20,69,sing,yellow,977.587851,None,None,977.587851,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
69,0,69,0,,,,,,,,,,,,,,,,,,,,,,,,,,982.1070602,None,motion,62,70,sing,red,980.1038185,None,None,980.1038185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
70,0,70,0,,,,,,,,,,,,,,,,,,,,,,,,,,984.6266085,None,suggestion,28,71,sing,yellow,982.6116229,None,None,982.6116229,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
71,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,987.1288493,None,agreement,66,72,sing,red,985.1266377,None,None,985.1266377,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
72,0,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,989.6481169,None,phrase,86,73,sing,red,987.6387818,None,None,987.6387818,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
73,0,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,992.1511747,None,broke,67,74,sing,red,990.1500623,None,None,990.1500623,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
74,0,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,994.6531035,None,drama,13,75,sing,yellow,992.6521314,None,None,992.6521314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
75,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,997.1555539,None,commercial,72,76,sing,red,995.1561623,None,None,995.1561623,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
76,0,76,0,,,,,,,,,,,,,,,,,,,,,,,,,,999.6580922,None,people,33,77,sing,blue,997.6588528,None,None,997.6588528,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
77,0,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,1002.160715,None,music,19,78,sing,yellow,1000.159471,None,None,1000.159471,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
78,0,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,1004.680306,None,block,11,79,sing,yellow,1002.675071,None,None,1002.675071,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
79,0,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,1007.182258,None,finance,63,80,sing,red,1005.182325,None,None,1005.182325,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
80,0,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,1009.684791,None,season,79,81,sing,red,1007.685131,None,None,1007.685131,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
81,0,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,1012.187313,None,graduate,61,82,sing,red,1010.187869,None,None,1010.187869,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
82,0,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,1014.689679,None,interview,46,83,sing,blue,1012.690067,None,None,1012.690067,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
83,0,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,1017.192227,None,dispute,47,84,sing,blue,1015.193048,None,None,1015.193048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
84,0,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,1019.711822,None,captain,85,85,sing,red,1017.695522,None,None,1017.695522,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45SingSep063,1,2022_Sep_06_1054,ProdSingRedoBetween,2021.2.3,59.99721613
